subject ROI    y     x
HMN001 RPCC 0.3457 17.76
HMN002 RPCC 0.5166 17.05
HMN003 RPCC 0.0919 15.81
HMN004 RPCC 0.3635 15.19
HMN005 RPCC 0.7323 17.31
HMN006 RPCC 0.6528 19.9
HMN007 RPCC 0.5152 16.76
HMN008 RPCC 0.156 19.48
HMN011 RPCC 0.4561 16.88
HMN012 RPCC 0.5855 19.29
HMN013 RPCC 0.5015 19.62
HMN014 RPCC 0.3616 17.48
HMN018 RPCC -0.0449 17.95
HMN019 RPCC 0.4638 19.07
HMN020 RPCC 0.7353 17.33
HMN021 RPCC 0.2294 18.19
HMN023 RPCC 0.7781 19.57
HMN024 RPCC 0.4765 18.75
HMN025 RPCC 0.134 18.95
HMN026 RPCC 0.3529 18.14
HMN027 RPCC 0.0755 18.98
HMN028 RPCC 0.2644 17.88
HMN029 RPCC 0.4412 19.71
HMN030 RPCC 0.6058 15.93
HMN031 RPCC 0.516 15.76
HMN032 RPCC 0.1624 18.29
HMN033 RPCC 0.2593 11.24
HMN035 RPCC 0.3399 17.76
HMN037 RPCC -0.0926 17.41
HMN038 RPCC 0.5071 17.81
HMN039 RPCC 0.2333 17.12
HMN040 RPCC 0.2429 13.02
HMN041 RPCC 0.2283 16.83
HMN042 RPCC 0.1497 16.69
HMN043 RPCC 0.3243 16.48
HMN045 RPCC 0.3072 19.46
HMN048 RPCC 0.1104 15.86
HMN049 RPCC 0.6853 16.76
HMN050_2 RPCC 0.1458 19.05
HMN052 RPCC 0.57 18.76
HMN053 RPCC 0.1782 11.88
HMN055 RPCC 0.5658 15.69
HMN056 RPCC 0.9234 19.95
HMN057 RPCC 0.2882 17.45
HMN058 RPCC 0.4136 18.6
HMN060 RPCC 0.3817 19.33
HMN062 RPCC 0.0944 14.67
HMN065 RPCC 0.6617 18.21
HMN068 RPCC 0.359 18.71
HMN069 RPCC 0.5262 18.45
HMN072 RPCC 0.1193 14.88
HMN073 RPCC 0.6409 14.95
HMN074 RPCC 0.2954 18.67
HMN075 RPCC 0.424 18.88
HMN077 RPCC 0.1898 17.52
HMN079 RPCC 0.3036 15.54
HMN080_W2 RPCC 0.5636 15.1
HMN081 RPCC 0.4944 13.5
HMN082 RPCC 0.3661 9.8
HMN083_W2 RPCC 0.239 15.07
HMN085 RPCC 0.1887 13.6
HMN086 RPCC 0.6306 16.05
HMN087 RPCC 0.4335 19
HMN088 RPCC -0.0781 14.07
HMN090 RPCC 0.2862 19.29
HMN092 RPCC 0.1405 12.86
HMN095 RPCC 0.3772 16.85
HMN096 RPCC 0.4606 17.69
HMN099 RPCC -0.0386 17.05
HMN101 RPCC 0.2144 14.64
HMN102 RPCC 0.2048 12.37
HMN103 RPCC 0.2733 15.93
HMN104 RPCC 0.3399 18.43
HMN105 RPCC 0.6521 16.71
HMN108 RPCC 0.2648 18.05
HMN109 RPCC 0.4785 13.95
HMN110 RPCC -0.0328 15.67
HMN111 RPCC -0.297 13.93
HMN113 RPCC 0.4291 18.98
HMN114 RPCC 0.2519 18.68
HMN115 RPCC 0.5657 17.33
HMN116 RPCC 0.291 15.93
HMN117 RPCC 0.3082 18.86
HMN118 RPCC 0.593 14.6
HMN119 RPCC 0.351 15.48
HMN120 RPCC 0.2983 14.95
HMN121 RPCC 0.2521 17.86
HMN122 RPCC 0.414 19
HMN123 RPCC 0.4854 16.32
HMN124 RPCC 0.3957 18
HMN125_W2 RPCC -0.0696 18.26
HMN126 RPCC 0.5434 12.98
HMN127 RPCC -0.0252 16.74
HMN129_W2 RPCC -0.0586 14.29
HMN130 RPCC 0.4224 14.8
HMN134 RPCC 0.4192 13.07
HMN136 RPCC 0.2168 16.07
HMN138 RPCC 0.3319 17.39
HMN140 RPCC 0.5353 14.1
HMN143 RPCC 0.2202 18.68
HMN144 RPCC 0.0433 16.24
HMN161_W2 RPCC 0.6046 16.14
HMN167 RPCC 0.5103 16.12
HMN169 RPCC 0.4466 16.55
HMN172 RPCC 0.0218 16.24
HMN174 RPCC 0.2361 18
HMN175 RPCC 0.8533 19.79
HMN178 RPCC 0.4131 16.95
HMN180 RPCC 0.4396 16.86
HMN182 RPCC -0.0041 17.95
HMN183 RPCC 0.413 18.6
HMN184 RPCC 0.7728 17.12
HMN186 RPCC 0.3447 17.07
HMN187 RPCC 0.1425 19.6
HMN188 RPCC 0.8722 18.1
HMN189 RPCC 0.7042 16.74
HMN190 RPCC 0.815 17.33
HMN191 RPCC 0.3231 17.98
HMN193 RPCC -0.0775 11.4
HMN194 RPCC 0.6412 18.93
HMN196 RPCC 0.3373 19.31
